t,avg_water_temp,n_active_bubbles,retentained,dissolved,degraded,precipitated,leached
104.3847752,39.47506714,2818,99.97666918,0.006363353,0.000163746,0.016803725,0.023167078
104.8880617,39.61978149,2710,99.97649347,0.006259119,0.00016551,0.017081897,0.023341016
105.393169,39.76867676,2963,99.97632405,0.006153695,0.000168121,0.017354138,0.023507833
105.9021563,39.91470337,3202,99.97616717,0.006056476,0.000160367,0.017615989,0.023672465
106.4040085,40.05172729,3199,99.97600402,0.005928514,0.000167915,0.017899555,0.023828069
106.9091148,40.17950439,3066,99.97585341,0.00575998,0.000165986,0.01822062,0.0239806
107.4093289,40.30062866,3061,99.97569026,0.005557226,0.000169335,0.018583178,0.024140404
107.9181568,40.4206543,3145,99.97551456,0.005396169,0.000171431,0.018917842,0.024314011
108.4200628,40.53656006,3265,99.97533886,0.00528775,0.000173156,0.019200238,0.024487988
108.9260156,40.65084839,3207,99.97516943,0.005205559,0.000170175,0.019454838,0.024660397
109.4340897,40.75836182,3109,99.975,0.005103577,0.000170771,0.019725652,0.024829229
109.9369135,40.85903931,3096,99.97483685,0.00501648,0.0001669,0.019979773,0.024996253
110.4439691,40.95202637,3257,99.97466114,0.004945262,0.00017343,0.020220163,0.025165425
110.9474304,41.03048706,3429,99.97448544,0.004868129,0.000177251,0.020469178,0.025337307
111.4486494,41.10083008,3252,99.97431601,0.004804391,0.000178177,0.020701418,0.025505809
111.9592541,41.17788696,3018,99.97414659,0.004793077,0.000181,0.020879336,0.025672413
112.4616909,41.26205444,3268,99.97398343,0.004813726,0.00018,0.02102284,0.025836566
112.9709952,41.34024048,3375,99.97382028,0.004812051,0.000173389,0.021194279,0.02600633
113.481302,41.41555786,3298,99.97364458,0.004805395,0.000178388,0.021371639,0.026177034
113.9865055,41.49514771,3445,99.97347515,0.004789227,0.000177982,0.02155764,0.026346867
114.4890925,41.57611084,3581,99.97330572,0.00471452,0.000179317,0.02180044,0.02651496
114.9964374,41.66592407,3807,99.97314257,0.004579107,0.000179066,0.022099257,0.026678364
115.5012041,41.76687622,3680,99.97297942,0.004406112,0.000186095,0.022428375,0.026834487
116.0025613,41.87762451,3728,99.97282882,0.004237652,0.000185178,0.022748354,0.026986006
116.5070165,41.99206543,3162,99.97267821,0.004093568,0.000187698,0.02304052,0.027134088
117.0084467,42.10592651,2899,99.97254016,0.003999073,0.000180918,0.023279849,0.027278922
117.5139771,42.22232056,2941,99.97238956,0.003990137,0.000182496,0.023437808,0.027427945
118.0141121,42.33822632,3160,99.97223268,0.004027356,0.000181815,0.023558149,0.027585505
118.5195614,42.45419312,3450,99.97206325,0.004072628,0.000183443,0.023680675,0.027753303
119.0273774,42.57284546,3288,99.97190638,0.004103097,0.00018107,0.023809457,0.027912554
119.5337422,42.6918335,3657,99.97176205,0.004101895,0.000177144,0.023958912,0.028060807
120.0389666,42.81350708,3965,99.97160517,0.004063281,0.000183047,0.024148501,0.028211782
120.5403496,42.94125366,3721,99.97144829,0.003990911,0.000186085,0.024374711,0.028365622
121.0444126,43.08279419,3790,99.97128514,0.003929375,0.000192407,0.024593078,0.028522453
121.5489126,43.22360229,3624,99.97112199,0.003866362,0.000193168,0.024818482,0.028684844
122.0506514,43.35528564,3415,99.97096511,0.003833012,0.000195044,0.025006833,0.028839845
122.5568217,43.47653198,3862,99.97080823,0.00382617,0.00019581,0.025169788,0.028995958
123.0640969,43.5859375,3778,99.97063253,0.003845738,0.000207589,0.025314143,0.029159881
123.5756184,43.69439697,3999,99.97045683,0.003878465,0.000211496,0.025453212,0.029331677
124.0844387,43.80603027,3965,99.97026857,0.003827442,0.000216895,0.025687088,0.02951453
124.5938777,43.93063354,3815,99.97008032,0.003711052,0.000222664,0.025985963,0.029697015
125.102585,44.06323242,3890,99.96989834,0.003588904,0.00022996,0.026282792,0.029871696
125.609342,44.19689941,3993,99.96972264,0.003488535,0.000236623,0.026552202,0.030040737
126.118717,44.33084106,3880,99.96956576,0.003358924,0.000244093,0.02683122,0.030190144
126.6283332,44.45681763,4112,99.96942771,0.003215348,0.000253254,0.027103688,0.030319036
127.1373121,44.57397461,3969,99.96929593,0.003100244,0.0002596,0.027344222,0.030444466
127.6404595,44.67630005,4095,99.96916416,0.002995931,0.000270565,0.027569347,0.030565278
128.1454141,44.76739502,4078,99.96904493,0.002876123,0.000274988,0.027803959,0.030680082
128.6458491,44.85562134,4051,99.9689257,0.002779875,0.000288481,0.028005942,0.030785817
129.1554668,44.94744873,4130,99.9688253,0.002711641,0.000284732,0.028178326,0.030889967
129.6599872,45.03811646,3898,99.9686998,0.002671218,0.000298847,0.028330136,0.031001354
130.1617424,45.12942505,3999,99.96856802,0.002670773,0.000298091,0.028463114,0.031133887
130.6713927,45.22402954,4129,99.96841114,0.002697824,0.000303969,0.028587062,0.031284886
131.1826875,45.32348633,3987,99.96826054,0.002715637,0.000304332,0.028719489,0.031435126
131.6924598,45.42089844,3732,99.96812249,0.002728574,0.000300669,0.028848267,0.031576841
132.2032669,45.51785278,3754,99.96797816,0.002742143,0.00030672,0.028972975,0.031715118
132.7131927,45.62539673,3590,99.96784639,0.002764275,0.000304034,0.029085305,0.03184958
133.2170806,45.73745728,3384,99.96772088,0.002810327,0.000299653,0.029169136,0.031979463
133.7191618,45.84414673,3795,99.96757028,0.002881276,0.000309233,0.02923921,0.032120486
134.2255142,45.95932007,3629,99.96740085,0.002994983,0.00029999,0.029304173,0.032299156
134.7318713,46.09115601,3674,99.9672126,0.003071222,0.000306802,0.029409376,0.032480598
135.240481,46.22949219,3748,99.96704317,0.003129663,0.000299964,0.0295272,0.032656863
135.7441249,46.36120605,3919,99.96686119,0.003191285,0.000303774,0.029643746,0.032835031
136.2481893,46.4871521,4195,99.96667922,0.003262264,0.000310851,0.029747668,0.033009932
136.7493953,46.60949707,4099,99.96650351,0.003311999,0.000322418,0.029862069,0.033174068
137.2542616,46.74655151,3892,99.96634036,0.00333293,0.000326584,0.030000124,0.033333054
137.7626126,46.88671875,4136,99.96616466,0.003317774,0.000345561,0.030172006,0.03348978
138.2634235,47.02111816,4084,99.96600778,0.003295686,0.000352822,0.030343711,0.033639397
138.7687879,47.15951538,4285,99.96583835,0.003273599,0.000367939,0.030520109,0.033793708
139.2785168,47.30148315,4500,99.9656501,0.003257039,0.000389352,0.030703509,0.033960548
139.7802537,47.43453979,3920,99.96546812,0.00319259,0.000408784,0.030930503,0.034123093
140.2823208,47.56213379,3989,99.96529869,0.003123705,0.00042669,0.03115091,0.034274615
140.7824587,47.68380737,4173,99.96512299,0.003065853,0.000447097,0.031364058,0.034429911
141.288186,47.78497314,4323,99.96493474,0.002983561,0.000471259,0.031610441,0.034594002
141.7993126,47.86407471,4475,99.96472766,0.002918043,0.000504329,0.031849968,0.034768011
